english;french;italian;japanese;portuguese;russian;spanish;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
absurdity;absurdité;assurdità;不条理;absurdo;нелепость;absurdo;0;0;0;0;0;0;0;0
abundance;abondance;abbondanza;豊富;abundância;изобилие;abundancia;0;1;1;0;1;0;0;1
abundant;abondant;abbondante;豊富;abundante;обильный;abundante;0;0;0;0;1;0;0;0
abuse;abuser de;abuso;乱用;Abuso;злоупотребление;abuso;1;0;1;1;0;1;0;0
abutment;butée;appoggio;アバットメント;pilar;устой;contrafuerte;0;0;0;0;0;0;0;0
aby;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
abysmal;épouvantable;abissale;深刻な;abismal;бездонный;abismal;0;0;0;0;0;1;0;0
abyss;abîme;abisso;深淵;abismo;бездна;abismo;0;0;0;1;0;1;0;0
academic;académique;accademico;アカデミック;acadêmico;академический;académico;0;0;0;0;0;0;0;1
academy;académie;accademia;アカデミー;Academia;академия;academia;0;0;0;0;0;0;0;0
accede;adhérer;aderire;合意;aderir;присоединяться;acceder a;0;0;0;0;0;0;0;0
accelerate;accélérer;accelerare;加速する;acelerar;ускорять;acelerar;0;1;0;0;0;0;0;0
acceleration;accélération;accelerazione;加速度;aceleração;ускорение;aceleración;0;0;0;0;0;0;0;0
accent;accent;accento;アクセント;sotaque;акцент;acento;0;0;0;0;0;0;0;0
accentuate;accentuer;accentuare;強調する;acentuar;акцентировать;acentuar;0;0;0;0;0;0;0;0
accept;Acceptez;accettare;受け入れる;aceitar;принимать;aceptar;0;0;0;0;0;0;0;0
acceptable;acceptable;accettabile;許容可能な;aceitável;приемлемо;aceptable;0;0;0;0;0;0;0;0
acceptance;acceptation;accettazione;受け入れ;aceitação;принятие;aceptación;0;0;0;0;0;0;0;0
access;accès;accesso;アクセス;Acesso;доступ;acceso;0;0;0;0;0;0;0;0
accessible;accessible;accessibile;アクセス可能な;acessível;доступной;accesible;0;0;0;0;0;0;0;0
accession;accession;accessione;加盟;adesão;присоединение;adhesión;0;0;0;0;0;0;0;0
accessory;accessoire;accessorio;アクセサリー;acessório;аксессуар;accesorio;0;0;0;0;0;0;0;0
accident;accident;incidente;事故;acidente;авария;accidente;0;0;0;1;0;1;1;0
accidental;accidentel;accidentale;偶然;acidental;случайный;accidental;0;0;0;1;0;0;1;0
accidentally;accidentellement;accidentalmente;誤って;acidentalmente;случайно;accidentalmente;0;0;0;0;0;0;1;0
accolade;accolade;encomio;称賛;elogio;акколада;espaldarazo;0;1;0;0;1;0;1;1
accommodate;accommoder;ospitare;収容する;acomodar;вмещать;acomodar;0;0;0;0;0;0;0;0
accommodation;hébergement;alloggio;宿泊施設;alojamento;жилье;alojamiento;0;0;0;0;0;0;0;0
accompaniment;accompagnement;accompagnamento;伴奏;acompanhamento;сопровождение;acompañamiento;0;1;0;0;1;0;0;1
accompany;accompagner;accompagnare;付随する;acompanhar;сопровождать;acompañar;0;0;0;0;0;0;0;0
accompanying;accompagnement;Accompagnando;付随の;acompanhando;сопровождая;acompañamiento;0;0;0;0;0;0;0;0
accomplice;complice;complice;共犯者;cúmplice;соучастник;cómplice;0;0;0;0;0;0;0;0
accomplish;accomplir;realizzare;達成する;realizar;выполнять;realizar;0;0;0;0;1;0;0;0
accomplished;accompli;compiuto;達成された;realizado;осуществляется;consumado;0;0;0;0;1;0;0;0
accomplishment;accomplissement;realizzazione;達成;realização;достижение;logro;0;0;0;0;0;0;0;0
accord;accord;accordo;アコード;acordo;согласие;acuerdo;0;0;0;0;0;0;0;1
accordance;conformité;conformità;従う;conformidade;соответствие;conformidad;0;0;0;0;0;0;0;0
accordion;accordéon;fisarmonica;アコーディオン;acordeão;аккордеон;acordeón;0;0;0;0;0;0;0;0
account;Compte;account;アカウント;conta;Счет;cuenta;0;0;0;0;0;0;0;1
accountability;responsabilité;responsabilità;説明責任;prestação de contas;подотчетность;responsabilidad;0;0;0;0;0;0;0;1
accountable;responsable;responsabile;説明責任;responsável;подотчетный;explicable;0;0;0;0;0;0;0;1
accountant;comptable;contabile;会計士;contador;бухгалтер;contador;0;0;0;0;0;0;0;1
accounting;comptabilité;contabilità;会計;contabilidade;учет;contabilidad;0;0;0;0;0;0;0;0
accounts;comptes;conti;アカウント;contas;Счета;cuentas;0;0;0;0;0;0;0;1
accredited;accrédité;accreditato;認定された;credenciado;аккредитованный;autorizado;0;0;0;0;0;0;0;1
accretion;accumulation;accrescimento;付加;acreção;срастание;acreción;0;0;0;0;0;0;0;0
accrue;accumuler;maturare;発生する;acumular;доставаться;acumularse;0;0;0;0;0;0;0;0
accueil;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
accumulate;accumuler;accumulare;累積する;acumular;скапливаться;acumular;0;0;0;0;0;0;0;0
accumulation;accumulation;accumulazione;累積;acumulação;накопление;acumulación;0;0;0;0;0;0;0;0
accuracy;précision;precisione;正確さ;precisão;точность;exactitud;0;0;0;0;0;0;0;0
accurate;précis;preciso;正確;preciso;точный;preciso;0;0;0;0;0;0;0;1
accursed;maudit;maledetto;呪われた;maldito;проклятый;maldito;1;0;0;1;0;1;0;0
accusation;accusation;accusa;告発;acusação;обвинение;acusación;1;0;1;0;0;0;0;0
accusative;accusatif;accusativo;反論的;acusativo;винительный;acusativo;0;0;0;0;0;0;0;0
accused;accusé;accusato;告発された;acusado;обвиняемый;acusado;1;0;0;1;0;0;0;0
accuser;accusateur;accusatore;告発者;acusador;обвинитель;acusador;1;0;0;1;0;0;0;0
accusing;accuser;accusando;非難する;acusando;обвинение;acusando;1;0;0;1;0;0;0;0
accustomed;habitué;avvezzo;慣れた;acostumado;привыкший;acostumbrado;0;0;0;0;0;0;0;0
ace;as;asso;エース;ás;туз;as;0;0;0;0;0;0;0;0
acetic;acétique;acetico;酢酸;acético;уксусный;acético;0;0;0;0;0;0;0;0
ache;mal;dolore;痛み;dor;боль;dolor;0;0;0;0;0;1;0;0
achieve;atteindre;raggiungere;達成する;alcançar;достигать;lograr;0;0;0;0;1;0;0;1
achievement;réussite;realizzazione;成果;realização;достижение;logro;0;1;0;0;1;0;0;1
aching;douloureux;dolorante;痛む;doendo;болящий;dolor;0;0;0;0;0;1;0;0
acid;acide;acido;酸;ácido;кислота;ácido;0;0;0;0;0;0;0;0
acidity;acidité;acidità;酸度;acidez;кислотность;acidez;0;0;0;0;0;0;0;0
acknowledge;reconnaître;riconoscere;認める;reconhecer;признавать;reconocer;0;0;0;0;0;0;0;0
acknowledged;reconnu;riconosciuto;認められた;reconhecido;признанный;admitido;0;0;0;0;0;0;0;0
acknowledgment;reconnaissance;riconoscimento;了承;reconhecimento;подтверждение;reconocimiento;0;0;0;0;0;0;0;0
acme;acmé;acme;アクメ;acme;кульминация;cumbre;0;0;0;0;0;0;0;0
acoustic;acoustique;acustico;音響;acústico;акустическое;acústico;0;0;0;0;0;0;0;0
acoustics;acoustique;acustica;音響;acústica;акустика;acústica;0;0;0;0;0;0;0;0
acquaint;informer;informare;知り合い;familiarizar;знакомить;familiarizar;0;0;0;0;0;0;0;0
acquaintance;connaissance;conoscenza;知り合い;conhecido;знакомство;conocido;0;0;0;0;0;0;0;0
acquainted;connaissance;conoscenza;知り合い;familiarizado;знакомый;familiarizado;0;0;0;0;0;0;0;0
acquiescence;consentement;acquiescenza;黙想;aquiescência;уступчивость;aquiescencia;0;0;0;0;0;0;0;0
acquire;acquérir;acquisire;獲得する;adquirir;приобретать;adquirir;0;0;0;0;0;0;0;0
acquiring;acquérir;acquisizione;取得する;adquirindo;приобретение;adquisidor;0;1;0;0;0;0;0;0
acquisition;acquisition;acquisizione;取得;aquisição;получение;adquisición;0;0;0;0;0;0;0;0
acquisitions;les acquisitions;acquisizioni;買収;aquisições;приобретения;adquisiciones;0;0;0;0;0;0;0;0
acreage;superficie;superficie in acri;面積;área cultivada;площадь;superficie en acres;0;0;0;0;0;0;0;0
acres;acres;acri;エーカー;acres;акра;hectáreas;0;0;0;0;0;0;0;0
acrobat;acrobate;acrobata;アクロバット;acrobata;акробат;acróbata;0;0;0;1;1;0;0;1
act;acte;atto;行為;Aja;акт;acto;0;0;0;0;0;0;0;0
acting;agissant;recitazione;演技;agindo;действующий;interino;0;0;0;0;0;0;0;0
action;action;azione;アクション;açao;действие;acción;0;0;0;0;0;0;0;0
actionable;actionable;processabile;実行可能な;acionável;действенные;procesable;1;0;1;0;0;0;0;0
active;actif;attivo;アクティブ;ativo;активный;activo;0;0;0;0;0;0;0;0
activity;activité;attività;アクティビティ;atividade;Мероприятия;actividad;0;0;0;0;0;0;0;0
actor;acteur;attore;俳優;ator;актер;actor;0;0;0;0;0;0;0;0
actual;réel;effettivo;実際の;real;фактический;real;0;0;0;0;0;0;0;0
actuality;actualité;attualità;現実;realidade;действительность;realidad;0;0;0;0;0;0;0;0
actuary;actuaire;attuario;保険証;atuário;актуарий;actuario;0;0;0;0;0;0;0;0
acuity;acuité;acutezza;視力;acuidade;острота;agudeza;0;0;0;0;0;0;0;0
acumen;perspicacité;acume;洞察力;perspicácia;сообразительность;perspicacia;0;0;0;0;0;0;0;0
acupuncture;acupuncture;agopuntura;鍼;acupuntura;иглоукалывание;acupuntura;0;0;0;0;0;0;0;0
acutely;intensément;acutamente;鋭く;agudamente;остро;extremadamente;0;0;0;0;0;0;0;0
adage;adage;adagio;敬意;adágio;изречение;adagio;0;0;0;0;0;0;0;0
adamant;catégorique;inflessibile;固執する;diamante;непреклонный;firme;0;0;0;0;0;0;0;0
adapt;adapter;adattare;適応する;adaptar;адаптироваться;adaptar;0;0;0;0;0;0;0;0
adaptable;adaptable;adattabile;適応性のある;adaptável;адаптируются;adaptable;0;0;0;0;0;0;0;0
add;ajouter;Inserisci;追加する;adicionar;Добавить;añadir;0;0;0;0;0;0;0;0
added;ajoutée;aggiunto;追加された;adicionado;добавленной;adicional;0;0;0;0;0;0;0;0
addendum;Addenda;appendice;補遺;termo aditivo;добавление;apéndice;0;0;0;0;0;0;0;0
adder;additionneur;vipera;加算器;adicionador;сумматор;sumador;1;0;1;1;0;1;0;0
addiction;dépendance;dipendenza;中毒;vício;зависимость;adiccion;0;0;0;0;0;0;0;0
addition;une addition;aggiunta;添加;Adição;прибавление;adición;0;0;0;0;0;0;0;0
additional;Additionnel;addizionale;追加;adicional;дополнительный;adicional;0;0;0;0;0;0;0;0
additive;additif;additivo;添加剤;aditivo;присадка;aditivo;0;0;0;0;0;0;0;0
address;adresse;indirizzo;住所;endereço;адрес;dirección;0;0;0;0;0;0;0;0
addressee;destinataire;destinatario;宛名;destinatário;адресат;destinatario;0;0;0;0;0;0;0;0
addresses;adresses;indirizzi;アドレス;endereços;адреса;direcciones;0;1;0;0;0;0;0;0
adept;expert;abile;熟達した;adepto;искусный;adepto;0;0;0;0;0;0;0;0
adequacy;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
adequate;adéquat;adeguato;十分な;adequado;адекватный;adecuado;0;0;0;0;0;0;0;0
adhere;adhérer;aderire;付着する;aderir;придерживаться;adherirse;0;0;0;0;0;0;0;0
adherence;adhérence;aderenza;遵守;aderência;соблюдение;adherencia;0;0;0;0;0;0;0;0
adherent;adhérent;aderente;付着した;aderente;приверженец;adherente;0;0;0;0;0;0;0;0
adhering;adhérant;aderendo;付着する;aderindo;придерживаясь;adhiriendo;0;0;0;0;0;0;0;1
adhesion;adhésion;adesione;接着力;adesão;адгезия;adhesión;0;0;0;0;0;0;0;0
adhesive;adhésif;adesivo;接着剤;adesivo;клей;adhesivo;0;0;0;0;0;0;0;0
adieu;Adieu;addio;アジュー;Adieu;прощайте;adiós;0;0;0;0;0;0;0;0
adipose;adipeux;adiposo;脂肪;adiposo;жировой;adiposo;0;0;0;0;0;0;0;0
adjacency;proximité;adiacenza;隣接;adjacência;смежность;proximidad;0;0;0;0;0;0;0;0
adjacent;adjacent;adiacente;隣接;adjacente;примыкающий;adyacente;0;0;0;0;0;0;0;0
adjective;adjectif;aggettivo;形容詞;adjetivo;имя прилагательное;adjetivo;0;0;0;0;0;0;0;0
adjoining;attenant;adiacente;隣接する;adjacente;прилегающий;contiguo;0;0;0;0;0;0;0;0
adjourn;ajourner;aggiornare;延期する;adiar;закрывать;aplazar;0;0;0;0;0;0;0;0
adjournment;ajournement;aggiornamento;延期;adiamento;отложение;aplazamiento;0;0;0;0;0;0;0;0
adjudicate;juger;giudicare;裁定する;julgar;выносить приговор;juzgar;0;0;0;1;0;0;0;0
adjudication;arbitrage;aggiudicazione;判決;adjudicação;судебное решение;adjudicación;0;0;0;0;0;0;0;0
adjunct;auxiliaire;aggiunta;補助;adjunto;адъюнкт;adjunto;0;0;0;0;0;0;0;0
adjust;régler;regolare;調整する;ajustar;регулировать;ajustar;0;0;0;0;0;0;0;0
adjustment;ajustement;registrazione;調整;ajustamento;регулировка;ajuste;0;0;0;0;0;0;0;0
adjuvant;adjuvant;adiuvante;アジュバント;adjuvante;адъювант;auxiliar;0;0;0;0;0;0;0;0
administer;administrer;amministrare;管理する;administrador;управлять;administrar;0;0;0;0;0;0;0;0
administration;administration;amministrazione;投与;administração;администрация;administración;0;0;0;0;0;0;0;0
administrative;administratif;amministrativo;行政;administrativo;административный;administrativo;0;0;0;0;0;0;0;1
admirable;admirable;ammirevole;素晴らしい;admirável;замечательный;admirable;0;0;0;0;1;0;0;1
admiral;amiral;ammiraglio;提督;almirante;адмирал;almirante;0;0;0;0;0;0;0;1
admiralty;amirauté;ammiragliato;アドミラル;admirado;адмиралтейство;almirantazgo;0;0;0;0;0;0;0;0
admiration;admiration;ammirazione;感嘆;admiração;восхищение;admiración;0;0;0;0;1;0;0;1
admire;admirer;ammirare;賞賛する;admirar;восхищаться;admirar;0;0;0;0;0;0;0;1
admirer;admirateur;ammiratore;賛美者;admirador;обожатель;admirador;0;0;0;0;0;0;0;0
admissibility;admissibilité;ammissibilità;許容性;admissibilidade;допустимость;admisibilidad;0;0;0;0;0;0;0;0
admissible;admissible;ammissibile;容認できる;admissível;допустимый;admisible;0;0;0;0;0;0;0;1
admission;admission;ammissione;入場料;admissão;вход;admisión;0;0;0;0;0;0;0;0
admit;admettre;ammettere;認める;Admitem;признавать;admitir;0;0;0;0;0;0;0;0
admittance;admission;ammissione;アドミタンス;admissão;впуск;entrada;0;0;0;0;0;0;0;0
admitted;admis;ammesso;認められた;admitiu;признал;aceptado;0;0;0;0;0;0;0;0
admitting;admettant;ammettendo;認めている;admitindo;допускающий;admitir;0;0;0;0;0;0;0;0
admixture;mélange;miscuglio;混和;mistura;примесь;mezcla;0;0;0;0;0;0;0;0
admonition;admonition;ammonizione;訓戒;admoestação;замечание;amonestación;0;0;0;1;0;0;0;0
ado;ado;rumore;痛み;ado;суматоха;alharaca;0;0;0;0;0;0;0;0
adobe;adobe;adobe;アドビ;adobe;саман;adobe;0;0;0;0;0;0;0;0
adolescence;adolescence;adolescenza;思春期;adolescência;подростковый возраст;adolescencia;0;0;0;0;0;0;0;0
adolescent;adolescent;adolescente;思春期の;adolescente;подросток;adolescente;0;0;0;0;0;0;0;0
adopt;adopter;adottare;採用;adotar;принять;adoptar;0;0;0;0;0;0;0;0
adoption;adoption;adozione;採択;adoção;принятие;adopción;0;0;0;0;0;0;0;0
adorable;adorable;adorabile;愛らしい;adorável;обожаемый;adorable;0;0;0;0;1;0;0;0
adoration;adoration;adorazione;礼拝;adoração;обожание;adoración;0;0;0;0;1;0;0;1
adore;adorer;adorare;崇拝します;adorar;обожать;adorar;0;1;0;0;1;0;0;1
adorn;orner;adornare;飾る;adornar;украшать;adornar;0;0;0;0;0;0;0;0
adornment;ornement;ornamento;装飾;adorno;украшение;adorno;0;0;0;0;0;0;0;0
adrift;à la dérive;alla deriva;漂流する;à deriva;дрейфовать;a la deriva;0;1;0;1;0;1;0;0
adult;adulte;adulto;大人;adulto;для взрослых;adulto;0;0;0;0;0;0;0;0
adulterated;frelaté;alterato;混入した;adulterado;фальсифицированный;espurio;0;0;0;0;0;0;0;0
adultery;adultère;adulterio;姦通;adultério;прелюбодеяние;adulterio;0;0;1;0;0;1;0;0
advance;avance;avanzare;前進;avançar;продвижение;avanzar;0;1;0;1;1;0;1;0
advanced;Avancée;Avanzate;高度な;avançado;передовой;avanzado;0;0;0;0;0;0;0;0
advancement;avancement;avanzamento;アドバンス;avanço;продвижение;adelanto;0;0;0;0;0;0;0;0
advancing;avancer;avanzando;前進;avançando;опережения;avanzando;0;0;0;0;0;0;0;0
advantage;avantage;vantaggio;利点;vantagem;преимущество;ventaja;0;0;0;0;0;0;0;0
advantageous;avantageux;vantaggioso;有利;vantajoso;выгодный;ventajoso;0;0;0;0;0;0;0;0
advent;avènement;Avvento;出現;advento;приход;adviento;0;1;0;0;1;0;0;1
adventure;aventure;avventura;冒険;aventura;приключение;aventuras;0;1;0;0;0;0;0;0
adventurer;aventurier;avventuriero;冒険家;aventureiro;авантюрист;aventurero;0;0;0;0;0;0;0;0
adventurous;aventureux;avventuroso;冒険的な;aventureiro;предприимчивый;aventurero;0;0;0;0;0;0;0;0
adversary;adversaire;avversario;敵;adversário;состязательный;adversario;1;0;0;0;0;0;0;0
adverse;négatif;avverso;有害な;desfavoraveis;неблагоприятный;adverso;1;0;1;1;0;1;0;0
adversity;adversité;avversità;逆境;adversidade;напасти;adversidad;1;0;0;1;0;1;0;0
advertise;afficher;pubblicizzare;広告する;anunciar;рекламировать;anunciar;0;0;0;0;0;0;0;0
advertisement;publicité;annuncio pubblicitario;広告;propaganda;Реклама;anuncio;0;0;0;0;0;0;0;0
advice;Conseil;consigli;助言;conselho;совет;Consejo;0;0;0;0;0;0;0;1
advisable;conseillé;consigliabile;お勧め;aconselhável;рекомендуемый;aconsejable;0;0;0;0;0;0;0;1
advise;conseiller;consigliare;アドバイス;aconselhar;консультировать;asesorar;0;0;0;0;0;0;0;1
advised;informé;consigliato;アドバイス;aconselhado;рекомендуется;aconsejado;0;0;0;0;0;0;0;1
advisement;conseil;seria considerazione;勧告;aconselhamento;совещание суда перед вынесением решения;consejo;0;0;0;0;0;0;0;0
adviser;conseiller;consigliere;顧問;conselheiro;консультант;asesor;0;0;0;0;0;0;0;1
advocacy;plaidoyer;patrocinio;アドボカシー;advocacia;пропаганда;Abogacía;1;1;0;0;1;0;0;1
advocate;avocat;avvocato;主張する;advogado;адвокат;abogado;0;0;0;0;0;0;0;1
aegis;égide;egida;イージス;égide;эгида;égida;0;0;0;0;0;0;0;0
aeration;aération;aerazione;通気;aeração;аэрация;aireación;0;0;0;0;0;0;0;0
aerial;aérien;aereo;空中;aéreo;антенна;aéreo;0;0;0;0;0;0;0;0
aerodrome;aérodrome;aerodromo;飛行場;aeródromo;аэродром;aeródromo;0;0;0;0;0;0;0;0
aerodynamics;aérodynamique;aerodinamica;空力;aerodinâmica;аэродинамика;aerodinámica;0;0;0;0;0;0;0;0
aeronautics;aéronautiques;aeronautica;航空学;aeronáutica;воздухоплавание;aeronáutica;0;0;0;0;0;0;0;0
aeroplane;avion;aereo;飛行機;avião;самолет;avión;0;0;0;0;0;0;0;0
aesthetic;esthétique;estetico;美的;estético;эстетический;estético;0;0;0;0;0;0;0;0
aesthetics;esthétique;estetica;美学;estética;эстетика;estética;0;0;0;0;1;0;0;0
aetiology;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
afar;au loin;lontano;遠く;longe;издалека;lejos;0;0;0;0;0;0;0;0
affable;affable;affabile;親切な;afável;приветливый;afable;0;0;0;0;0;0;0;0
affair;affaire;affare;事件;caso;дело;asunto;0;0;0;0;0;0;0;0
affecting;affectant;che interessano;影響;afetando;затрагивающий;conmovedor;0;0;0;0;0;0;0;0
affection;affection;affetto;愛情;afeição;привязанность;afecto;0;0;0;0;1;0;0;1
affections;affections;gli affetti;愛情;afecções;привязанностей;afectos;0;0;0;0;0;0;0;0
affiche;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;NO TRANSLATION;0;0;0;0;0;0;0;0
affidavit;affidavit;affidavit;宣誓供述書;declaração jurada;аффидавит;declaración jurada;0;0;0;0;0;0;0;0
affiliated;affilié;affiliato;提携;afiliado;аффилированная;asociado;0;0;0;0;0;0;0;0
affiliation;affiliation;affiliazione;所属;afiliação;присоединение;afiliación;0;0;0;0;0;0;0;0
affinity;affinité;affinità;親和性;afinidade;сродство;afinidad;0;0;0;0;0;0;0;0
affirm;affirmer;affermare;肯定する;afirmar;утверждать;afirmar;0;0;0;0;0;0;0;1
affirmation;affirmation;affermazione;肯定;afirmação;утверждение;afirmación;0;0;0;0;0;0;0;0
affirmative;affirmative;affermativa;肯定的な;afirmativo;утвердительный;afirmativo;0;0;0;0;0;0;0;0
affirmatively;affirmativement;affermativamente;肯定的に;afirmativamente;утвердительно;afirmativamente;0;0;0;0;0;0;0;1
affix;affixe;apporre;接辞;afixo;аффикс;afijo;0;0;0;0;0;0;0;0
afflict;affliger;affliggere;苦しめる;afligir;тревожить;afligir;0;0;0;1;0;1;0;0
afflicted;affligé;afflitto;悩んでいる;afligido;страдающий;afligido;0;0;0;0;0;0;0;0
affliction;affliction;afflizione;苦しみ;aflição;недуг;aflicción;0;0;1;1;0;1;0;0
affluence;richesse;affluenza;豊かな;afluência;наплыв;afluencia;0;0;0;0;1;0;0;0
affluent;affluent;affluente;豊かな;afluente;полноводный;afluente;0;0;0;0;0;0;0;0
